mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2047252178192138,0.11178832604786745,0.1033757209777832,0.008562739723853489,0.01,7,300,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.622599036703536,0.6341183927396958,0.6297090857001151,0.635010912944431,0.6332938423276061,0.6309462540830768,0.004545364880204062,16
1.1469512939453126,0.11480745916846517,0.09336051940917969,0.012235978743847277,0.01,7,300,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.6223709199681469,0.6328209306731523,0.6271410396023591,0.6359702816725685,0.6342555409262167,0.6305117425684886,0.005035447469548789,17
0.24754772186279297,0.028852414437252453,0.02473111152648926,0.002538089273923126,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6324278490332379,0.6443311219923942,0.6348289278513437,0.6452351943613117,0.6393812651631455,0.6392408716802865,0.005054597687514574,1
0.2161317825317383,0.02787673853567488,0.01809401512145996,0.0010391210406857432,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6305758830859373,0.645497428488253,0.6316835045877495,0.6449117337642034,0.6421903239699065,0.63897177477921,0.006509012331768649,3
0.6297350883483886,0.09258178165486179,0.039284563064575194,0.005880606835338496,0.1,3,300,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.6238430507571289,0.6404747015305847,0.6307360730959337,0.6385877710330253,0.6299688402265842,0.6327220873286514,0.006080644453671165,10
0.5580360412597656,0.052541457087351556,0.04393267631530762,0.009069790914944557,0.1,3,300,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6229941207185754,0.6412547806706108,0.6289036688133155,0.6385485706892329,0.6282412305801683,0.6319884742943807,0.006831625796605531,12
0.3135538578033447,0.03451225772302917,0.029682445526123046,0.002258283772718649,0.1,5,100,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6213218294315257,0.6357796709635584,0.6316540850762982,0.6341455788327386,0.6263965639900518,0.6298595456588345,0.005320210073458488,19
0.3020484924316406,0.05464673237540441,0.03170652389526367,0.005825779594387536,0.1,5,100,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6240605395014701,0.636356740071685,0.6274183685571655,0.6370798285350778,0.6322731919743112,0.631437733727942,0.005045911983676695,15
0.9322723388671875,0.07777555714688456,0.0792111873626709,0.022093382025936657,0.1,5,300,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.6096972716868778,0.6243776079010642,0.6212377296762776,0.6175323345075466,0.6060781413973997,0.6157846170338332,0.006897853123359502,27
0.7190842628479004,0.0513153158890372,0.05881147384643555,0.00478529328312661,0.1,5,300,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.6070167075099849,0.622262329624832,0.6175220915886381,0.6211979902314899,0.6077990554789884,0.6151596348867867,0.006526509096925506,28
0.4247161388397217,0.05937313120387159,0.045452880859375,0.014704355282671153,0.1,7,100,0.8,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6095671173037557,0.6249149375644033,0.6169292345227955,0.6207141085811017,0.6102662556769924,0.6164783307298098,0.005927498808095027,26
0.3685189723968506,0.01823246147184477,0.03820023536682129,0.002323752126318949,0.1,7,100,1.0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6089063335125202,0.6266551555768458,0.6180192967350504,0.6250571832127031,0.6140780330369944,0.6185432004148227,0.006653077286671926,24
1.3064349174499512,0.08692006620467906,0.10439329147338867,0.006717793642375725,0.1,7,300,0.8,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.593056995297499,0.6073053575856902,0.5997093475491698,0.5912272095054287,0.5821321079577482,0.5946862035791071,0.008446292674098676,34
1.001107406616211,0.0281482014413846,0.09274454116821289,0.008004578229286984,0.1,7,300,1.0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.5923067977554916,0.6105074634682062,0.6025389346440162,0.6029946290137995,0.5903942040728121,0.5997484057908651,0.007442593076769705,32
0.24920711517333985,0.007427108958401889,0.024287652969360352,0.0009546125969993735,0.2,3,100,0.8,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6235490096714718,0.639351061027773,0.6303992119883739,0.6373489169461006,0.627811944826083,0.6316920288919605,0.005894002810386259,14
0.2120835304260254,0.03982113362443262,0.019732284545898437,0.00282926181250722,0.2,3,100,1.0,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6247594454345077,0.6419390538623506,0.6318338367509769,0.6409785299177948,0.6334228281511713,0.6345867388233601,0.006331198670883893,9
0.6606059074401855,0.030197320449550962,0.03843779563903808,0.003033306753715112,0.2,3,300,0.8,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.6162984093440065,0.6341655255695602,0.623322587253496,0.6329291359443279,0.6192141469434823,0.6251859610109746,0.007193227889620949,21
0.5334688186645508,0.036525707262484906,0.03758749961853027,0.005563967756422789,0.2,3,300,1.0,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6132585728610398,0.6364628659533077,0.6246574013175629,0.6314265074419042,0.6175057774258801,0.624662224999939,0.008558839770882348,22
0.3113428592681885,0.029265966448143204,0.02904644012451172,0.006002671556756207,0.2,5,100,0.8,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.609752414017242,0.6262220264344323,0.6191128245965599,0.6217691292286697,0.6093060962886869,0.6172324981131181,0.0066889128110083325,25
0.28324365615844727,0.045438431168539066,0.026653194427490236,0.003677998397023974,0.2,5,100,1.0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6122419824129852,0.6246748835926923,0.6245428038488731,0.6263994676762745,0.6176281446451335,0.6210974564351918,0.005352294302882886,23
