mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_interactions,param_learning_rate,param_max_bins,param_max_rounds,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11.908894157409668,1.914767320512049,0.007929277420043946,0.0028561517150838133,5,0.05,128,8000,2,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6583157602714018,0.6713056225940922,0.6596792969082894,0.6489278467907026,0.6728001639145107,0.6622057380957994,0.008864163653370392,17
12.193749904632568,1.766413674820076,0.0074061393737792965,0.0021460656043374043,5,0.05,128,8000,5,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6583157602714018,0.6713056225940922,0.6597155611805471,0.6489278467907026,0.6727484873265435,0.6622026556326575,0.008849776469157345,19
12.786549282073974,1.8664132588863036,0.011916494369506836,0.004981712260101471,5,0.05,256,5000,2,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6588429521293475,0.6706193212416163,0.6595233605375815,0.6485108076597397,0.6722176690413721,0.6619428221219315,0.008680277841560462,21
12.995575761795044,1.3605620900024264,0.007672405242919922,0.0010986906419706679,5,0.05,256,5000,5,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6588429521293475,0.6706193212416163,0.6594979755470012,0.6485108076597397,0.6721369810355988,0.6619216075226607,0.008662629437916456,23
12.983961820602417,2.2362669719123716,0.007042121887207031,0.002307299927200531,5,0.05,256,8000,2,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6588429521293475,0.6706193212416163,0.6595233605375815,0.6485108076597397,0.6722176690413721,0.6619428221219315,0.008680277841560462,21
12.465275287628174,1.3281457905076168,0.014286136627197266,0.012864942101675016,5,0.05,256,8000,5,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6588429521293475,0.6706193212416163,0.6594979755470012,0.6485108076597397,0.6721369810355988,0.6619216075226607,0.008662629437916456,23
11.357385110855102,1.2688939476110956,0.0065234661102294925,0.0009026719422270378,5,0.1,128,5000,2,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6613619591410445,0.673069879439427,0.6594843764449045,0.6481944018842916,0.672554473469965,0.6629330180759265,0.009240308703963472,1
10.670686531066895,2.0108296526262555,0.007828378677368164,0.003017143176469829,5,0.1,128,5000,5,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6613619591410445,0.673069879439427,0.6594843764449045,0.6481944018842916,0.672554473469965,0.6629330180759265,0.009240308703963472,1
11.047631120681762,1.4528959144140035,0.009669828414916991,0.005732886818194462,5,0.1,128,8000,2,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6613619591410445,0.673069879439427,0.6594843764449045,0.6481944018842916,0.672554473469965,0.6629330180759265,0.009240308703963472,1
11.30588083267212,1.308338961179056,0.006292200088500977,0.0009452582052094521,5,0.1,128,8000,5,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6613619591410445,0.673069879439427,0.6594843764449045,0.6481944018842916,0.672554473469965,0.6629330180759265,0.009240308703963472,1
11.420359897613526,1.2815133423163667,0.007502126693725586,0.0015547350487121118,5,0.1,256,5000,2,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6614829911497044,0.6725784985503356,0.6588823895254277,0.6477256861653614,0.6721986302984368,0.6625736391378532,0.009252180401542796,11
11.540250253677367,1.8479295279034278,0.011414813995361327,0.009282763387597403,5,0.1,256,5000,5,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6614829911497044,0.6725812183707551,0.6589132141568466,0.6477256861653614,0.6721986302984368,0.6625803480282209,0.009250316788597368,9
11.47693920135498,1.7311388021759617,0.008411073684692382,0.0016495865989597821,5,0.1,256,8000,2,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6614829911497044,0.6725784985503356,0.6588823895254277,0.6477256861653614,0.6721986302984368,0.6625736391378532,0.009252180401542796,11
11.83512454032898,1.9174247991676647,0.008272838592529298,0.0033303875875283764,5,0.1,256,8000,5,"{'interactions': 5, 'learning_rate': 0.1, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6614829911497044,0.6725812183707551,0.6589132141568466,0.6477256861653614,0.6721986302984368,0.6625803480282209,0.009250316788597368,9
32.83211798667908,4.968663964415317,0.007071304321289063,0.0010345409291740227,10,0.01,128,5000,2,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.657070989126158,0.6708214945594526,0.6575913814330552,0.6483485250413867,0.6715526729488475,0.66107701262178,0.008887143890330967,39
